Model,training,sub-sample,solver,Rank,BIC,Ntotal,p1,v1,ci1,p2,v2,ci2
CAP,wet,0.0,differential_evolution,5,3254.93628,713766.0,krlC,1.26168259,0.01648438,PcritC,-4.9741816,0.05239493
CAP,wet,0.0,basinhopping,2,3249.4886,22887814.0,krlC,1.97888056,0.08282609,PcritC,-3.14514249,0.13633837
CAP,wet,0.0,dual_annealing,3,3249.74083,4025612.0,krlC,1.15420484,,PcritC,-5.42505172,
CAP,wet,1.0,differential_evolution,1,876.646752,255075.0,krlC,2.33234033,,PcritC,-2.58745807,
CAP,wet,1.0,basinhopping,2,881.553937,5884625.0,krlC,3.73228206,0.19487708,PcritC,-1.63867219,0.08562414
CAP,wet,1.0,dual_annealing,3,884.30696,823042.0,krlC,1.40472159,0.03759527,PcritC,-4.44580635,0.11917532
CAP,wet,2.0,differential_evolution,2,789.034119,253968.0,krlC,1.15456345,0.025193,PcritC,-5.42918894,0.09447043
CAP,wet,2.0,basinhopping,3,791.173322,5734784.0,krlC,1.85845466,0.31848656,PcritC,-3.23939927,0.55867869
CAP,wet,2.0,dual_annealing,1,787.346742,883696.0,krlC,3.34370514,0.06790562,PcritC,-1.82955363,0.02171297
CAP,wet,3.0,differential_evolution,1,802.289469,347634.0,krlC,2.08284165,0.17835484,PcritC,-2.95506595,0.25187568
CAP,wet,3.0,basinhopping,4,804.090617,5615900.0,krlC,2.70197265,0.45263196,PcritC,-2.22265122,0.36688733
CAP,wet,3.0,dual_annealing,2,803.424266,1165010.0,krlC,5.15254008,0.0846138,PcritC,-1.24298426,0.02292553
CAP,inter,0.0,differential_evolution,2,3242.43487,620574.0,krlC,6.20871014,0.07443877,PcritC,-0.89588896,0.00395749
CAP,inter,0.0,basinhopping,3,3254.26055,16899522.0,krlC,6.25587034,0.06748814,PcritC,-0.8894416,0.00394094
CAP,inter,0.0,dual_annealing,1,3237.14813,4434386.0,krlC,6.22857406,,PcritC,-0.89433671,0.00473568
CAP,inter,1.0,differential_evolution,2,879.627279,220707.0,krlC,1.24103476,0.06986452,PcritC,-4.80350411,0.29542798
CAP,inter,1.0,basinhopping,3,880.011938,6160822.0,krlC,1.4175982,0.04889002,PcritC,-4.07976135,0.1579436
CAP,inter,1.0,dual_annealing,4,882.834065,1017436.0,krlC,1.13924864,0.02899605,PcritC,-4.9150473,0.10339245
CAP,inter,2.0,differential_evolution,1,774.001424,227568.0,krlC,6.49038997,0.18884282,PcritC,-0.82149734,0.0207929
CAP,inter,2.0,basinhopping,4,785.342446,4721552.0,krlC,6.68211548,,PcritC,-0.86303021,
CAP,inter,2.0,dual_annealing,2,775.084181,1125520.0,krlC,6.49483443,0.21917154,PcritC,-0.81767906,0.02022079
CAP,inter,3.0,differential_evolution,1,812.554664,163404.0,krlC,7.21964272,0.18021013,PcritC,-0.8086939,0.0088344
CAP,inter,3.0,basinhopping,2,818.170896,4454806.0,krlC,7.38685828,0.19570542,PcritC,-0.78674893,0.01096137
CAP,inter,3.0,dual_annealing,3,821.782608,1077434.0,krlC,4.94898357,0.10644957,PcritC,-1.05144727,0.02459288
CGain,wet,0.0,differential_evolution,3,2779.18093,107312.0,Kappa,6.40945924,0.07352118,,,
CGain,wet,0.0,basinhopping,6,2840.52448,213918.0,Kappa,7.36319023,0.10560081,,,
CGain,wet,0.0,dual_annealing,1,2756.42035,1426826.0,Kappa,7.23575627,0.06032133,,,
CGain,wet,1.0,differential_evolution,2,729.984015,29893.0,Kappa,6.52332583,0.16444703,,,
CGain,wet,1.0,basinhopping,6,759.614318,54237.0,Kappa,7.17399957,0.20491412,,,
CGain,wet,1.0,dual_annealing,4,736.255431,361043.0,Kappa,6.31402483,0.13736163,,,
CGain,wet,2.0,differential_evolution,6,672.031297,32032.0,Kappa,6.58425052,0.15986102,,,
CGain,wet,2.0,basinhopping,4,664.403075,53328.0,Kappa,6.5577262,0.14740881,,,
CGain,wet,2.0,dual_annealing,1,647.318885,357456.0,Kappa,7.4679264,0.12727639,,,
CGain,wet,3.0,differential_evolution,1,696.758524,35066.0,Kappa,7.629664,0.23536032,,,
CGain,wet,3.0,basinhopping,4,709.822111,53934.0,Kappa,8.53327038,0.22859587,,,
CGain,wet,3.0,dual_annealing,7,727.837462,360806.0,Kappa,7.96028572,0.12110877,,,
CGain,inter,0.0,differential_evolution,7,3473.67323,64952.0,Kappa,6.3819356,0.17317105,,,
CGain,inter,0.0,basinhopping,1,3436.152,213918.0,Kappa,8.06959166,0.18269402,,,
CGain,inter,0.0,dual_annealing,2,3441.3231,1424002.0,Kappa,7.41222304,0.14665751,,,
CGain,inter,1.0,differential_evolution,3,732.469407,24523.0,Kappa,5.81411134,0.13229856,,,
CGain,inter,1.0,basinhopping,4,735.812256,54237.0,Kappa,7.8935627,0.22295008,,,
CGain,inter,1.0,dual_annealing,1,710.604237,360685.0,Kappa,7.46066547,0.13140865,,,
CGain,inter,2.0,differential_evolution,2,824.596647,21472.0,Kappa,6.73689263,0.22632449,,,
CGain,inter,2.0,basinhopping,1,818.336646,53328.0,Kappa,7.28027143,0.25873396,,,
CGain,inter,2.0,dual_annealing,4,827.084453,354288.0,Kappa,7.64865653,0.2624669,,,
CGain,inter,3.0,differential_evolution,5,798.688794,27056.0,Kappa,7.57242969,0.27259758,,,
CGain,inter,3.0,basinhopping,3,792.717121,53934.0,Kappa,8.21336629,0.30529089,,,
CGain,inter,3.0,dual_annealing,2,785.89393,358670.0,Kappa,7.72487879,0.19663266,,,
CMax,wet,0.0,differential_evolution,4,3708.50665,235098.0,Alpha,2.20908249,,Beta,4.7785078,
CMax,wet,0.0,basinhopping,5,3717.04305,285224.0,Alpha,2.34739247,,Beta,0.68104399,
CMax,wet,0.0,dual_annealing,1,3665.48917,2850122.0,Alpha,2.26275721,,Beta,2.69352952,
CMax,wet,1.0,differential_evolution,2,923.764195,81087.0,Alpha,2.34425406,,Beta,5.6396862,
CMax,wet,1.0,basinhopping,3,941.560163,72316.0,Alpha,2.31592851,,Beta,0.82876324,
CMax,wet,1.0,dual_annealing,1,922.369833,722086.0,Alpha,2.02315412,,Beta,4.22464411,
CMax,wet,2.0,differential_evolution,4,917.21866,95568.0,Alpha,1.93313696,,Beta,0.25734897,
CMax,wet,2.0,basinhopping,5,921.51223,71104.0,Alpha,2.36683333,,Beta,0.52727289,
CMax,wet,2.0,dual_annealing,2,904.085874,707344.0,Alpha,2.31902186,,Beta,2.45532525,
CMax,wet,3.0,differential_evolution,4,938.707497,101994.0,Alpha,2.27272045,,Beta,7.3760388,
